@relation 'drg_DRG194_set-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R2,4,7-weka.filters.unsupervised.attribute.Remove-R1'

@attribute providerRegionDescription {RIDCASantaCruz,RIDCTHartford,RIDFLMiami,RIDFLOcala,RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDALMobile,RIDGARome,RIDFLPensacola,RIDFLOrlando,RIDMSTupelo,RIDALTuscaloosa,RIDAKAnchorage,RIDAZPhoenix,RIDAZTucson,RIDAZMesa,RIDAZSunCity,RIDNMAlbuquerque,RIDNVLasVegas,RIDARSpringdale,RIDARLittleRock,RIDARFortSmith,RIDTNMemphis,RIDARJonesboro,RIDMOSpringfield,RIDARTexarkana,RIDCAAlamedaCounty,RIDCARedding,RIDCASanMateoCounty,RIDCASanFrancisco,RIDCANapa,RIDCASacramento,RIDCASanLuisObispo,RIDCALosAngeles,RIDCASanBernardino,RIDCASanDiego,RIDCAChico,RIDCABakersfield,RIDCASanJose,RIDCAFresno,RIDCAOrangeCounty,RIDCAVentura,RIDCAStockton,RIDCASantaRosa,RIDCASantaBarbara,RIDCASalinas,RIDCAModesto,RIDCAContraCostaCounty,RIDCAPalmSprings/RanchoM,RIDORMedford,RIDCOGreeley,RIDCOBoulder,RIDCODenver,RIDCOGrandJunction,RIDCOColoradoSprings,RIDCOFortCollins,RIDCOPueblo,RIDCTNewHaven,RIDCTBridgeport,RIDDEWilmington,RIDMDSalisbury,RIDDCWashington,RIDFLJacksonville,RIDFLFortLauderdale,RIDFLFortMyers,RIDFLOrmondBeach,RIDFLPanamaCity,RIDFLSt.Petersburg,RIDFLBradenton,RIDFLClearwater,RIDFLTampa,RIDFLHudson,RIDFLSarasota,RIDFLGainesville,RIDFLTallahassee,RIDFLLakeland,RIDGAAtlanta,RIDGAMacon,RIDTNChattanooga,RIDGAAlbany,RIDGASavannah,RIDGAAugusta,RIDGAColumbus,RIDHIHonolulu,RIDIDBoise,RIDWASpokane,RIDIDIdahoFalls,RIDUTSaltLakeCity,RIDILPeoria,RIDMOSt.Louis,RIDILJoliet,RIDILMelrosePark,RIDILEvanston,RIDILRockford,RIDILSpringfield,RIDILChicago,RIDILAurora,RIDILElgin,RIDILBlueIsland,RIDWIMilwaukee,RIDILUrbana,RIDILHinsdale,RIDILBloomington,RIDINEvansville,RIDKYPaducah,RIDIADavenport,RIDINIndianapolis,RIDINGary,RIDINLafayette,RIDINMunster,RIDINSouthBend,RIDKYLouisville,RIDINFortWayne,RIDINTerreHaute,RIDOHCincinnati,RIDINMuncie,RIDIADesMoines,RIDIAIowaCity,RIDNEOmaha,RIDIAWaterloo,RIDIACedarRapids,RIDIAMasonCity,RIDIADubuque,RIDSDSiouxFalls,RIDIASiouxCity,RIDKSTopeka,RIDMOJoplin,RIDMOKansasCity,RIDKSWichita,RIDOKTulsa,RIDTXAmarillo,RIDKYCovington,RIDKYLexington,RIDTNNashville,RIDWVHuntington,RIDTNKnoxville,RIDKYOwensboro,RIDLAMetairie,RIDLALafayette,RIDLAHouma,RIDLAShreveport,RIDLAMonroe,RIDLALakeCharles,RIDLABatonRouge,RIDLAAlexandria,RIDLANewOrleans,RIDLASlidell,RIDMEBangor,RIDMEPortland,RIDMDBaltimore,RIDMDTakomaPark,RIDWVMorgantown,RIDMAWorcester,RIDMABoston,RIDRIProvidence,RIDMASpringfield,RIDNYAlbany,RIDMIAnnArbor,RIDMIGrandRapids,RIDMIMuskegon,RIDMIKalamazoo,RIDMIRoyalOak,RIDMIDearborn,RIDMISt.Joseph,RIDMIDetroit,RIDMIPontiac,RIDMILansing,RIDMISaginaw,RIDMIMarquette,RIDWIGreenBay,RIDMITraverseCity,RIDOHToledo,RIDMIPetoskey,RIDMIFlint,RIDMNMinneapolis,RIDMNDuluth,RIDMNRochester,RIDMNSt.Cloud,RIDMNSt.Paul,RIDWILaCrosse,RIDNDFargo/MoorheadMN,RIDNHLebanon,RIDMSJackson,RIDMSGulfport,RIDMSOxford,RIDMSMeridian,RIDMSHattiesburg,RIDMOColumbia,RIDMOCapeGirardeau,RIDMTBillings,RIDMTGreatFalls,RIDMTMissoula,RIDNELincoln,RIDNVReno,RIDNHManchester,RIDNJHackensack,RIDNJNewark,RIDPAPhiladelphia,RIDNJNewBrunswick,RIDNJCamden,RIDNJRidgewood,RIDNJMorristown,RIDNJPaterson,RIDPAAllentown,RIDTXElPaso,RIDTXLubbock,RIDNYEastLongIsland,RIDNYBuffalo,RIDNYWhitePlains,RIDNYRochester,RIDNYBronx,RIDNYBinghamton,RIDNYManhattan,RIDNYElmira,RIDVTBurlington,RIDNYSyracuse,RIDPAErie,RIDPASayre,RIDNCCharlotte,RIDNCAsheville,RIDNCWinstonSalem,RIDNCDurham,RIDNCRaleigh,RIDNCGreenville,RIDNCHickory,RIDTNJohnsonCity,RIDNCGreensboro,RIDNCWilmington,RIDOREugene,RIDVANorfolk,RIDNDBismarck,RIDNDMinot,RIDNDGrandForks,RIDOHColumbus,RIDOHDayton,RIDOHCanton,RIDOHAkron,RIDOHCleveland,RIDOHKettering,RIDOHYoungstown,RIDPAPittsburgh,RIDOHElyria,RIDOKOklahomaCity,RIDTXDallas,RIDOKLawton,RIDORPortland,RIDORBend,RIDORSalem,RIDPAScranton,RIDPADanville,RIDPAHarrisburg,RIDPAReading,RIDPAJohnstown,RIDPAYork,RIDPAAltoona,RIDPALancaster,RIDPAWilkesBarre,RIDSCCharleston,RIDSCFlorence,RIDSCSpartanburg,RIDSCGreenville,RIDSCColumbia,RIDSDRapidCity,RIDTNJackson,RIDTNKingsport,RIDTXBeaumont,RIDTXSanAntonio,RIDTXWichitaFalls,RIDTXBryan,RIDTXHouston,RIDTXVictoria,RIDTXHarlingen,RIDTXLongview,RIDTXFortWorth,RIDTXWaco,RIDTXCorpusChristi,RIDTXTemple,RIDTXAbilene,RIDTXAustin,RIDTXTyler,RIDTXMcAllen,RIDTXOdessa,RIDTXSanAngelo,RIDUTProvo,RIDUTOgden,RIDVACharlottesville,RIDVAWinchester,RIDWIMarshfield,RIDVARichmond,RIDVALynchburg,RIDVAArlington,RIDVARoanoke,RIDVANewportNews,RIDWASeattle,RIDWAEverett,RIDWAYakima,RIDWAOlympia,RIDWATacoma,RIDWVCharleston,RIDWIAppleton,RIDWIWausau,RIDWIMadison,RIDWINeenah,RIDWYCasper}
@attribute averageCoveredPayments {'\'(-inf-16988.408]\'','\'(16988.408-28884.216]\'','\'(28884.216-40780.024]\'','\'(40780.024-52675.832]\'','\'(52675.832-64571.64]\'','\'(64571.64-76467.448]\'','\'(76467.448-88363.256]\'','\'(88363.256-100259.064]\'','\'(100259.064-112154.872]\'','\'(112154.872-inf)\''}
@attribute averageTotalPayments {'\'(-inf-6573.001]\'','\'(6573.001-8426.802]\'','\'(8426.802-10280.603]\'','\'(10280.603-12134.404]\'','\'(12134.404-13988.205]\'','\'(13988.205-15842.006]\'','\'(15842.006-17695.807]\'','\'(17695.807-19549.608]\'','\'(19549.608-21403.409]\'','\'(21403.409-inf)\''}

@data
RIDPADanville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPADanville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDPAAltoona,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPALancaster,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDPASayre,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDPAPhiladelphia,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDPAPhiladelphia,'\'(76467.448-88363.256]\'','\'(6573.001-8426.802]\''
RIDPADanville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAErie,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAScranton,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAReading,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDPAPhiladelphia,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
RIDPALancaster,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAYork,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDPAPittsburgh,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDPAErie,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDPAPittsburgh,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDPAJohnstown,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDPAErie,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDPAAltoona,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAErie,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAScranton,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAErie,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDPAReading,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
RIDPAScranton,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
RIDPAJohnstown,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDPAAllentown,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDPAWilkesBarre,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDPAHarrisburg,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDPAPhiladelphia,'\'(28884.216-40780.024]\'','\'(12134.404-13988.205]\''
RIDPAPittsburgh,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAErie,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDWVMorgantown,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDPAHarrisburg,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDPAErie,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDPAPittsburgh,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAAllentown,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDPAErie,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(112154.872-inf)\'','\'(6573.001-8426.802]\''
RIDPAAllentown,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAAllentown,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPADanville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPASayre,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAAllentown,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDPAAllentown,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDPAErie,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAAllentown,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDPAPhiladelphia,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDOHYoungstown,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPALancaster,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDPALancaster,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDPAYork,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPASayre,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAScranton,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAHarrisburg,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDPAPhiladelphia,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDPAAllentown,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDPAPittsburgh,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPADanville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAWilkesBarre,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(88363.256-100259.064]\'','\'(8426.802-10280.603]\''
RIDPAPhiladelphia,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDPAReading,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDRIProvidence,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDRIProvidence,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDRIProvidence,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDRIProvidence,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDRIProvidence,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDRIProvidence,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDRIProvidence,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDRIProvidence,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDRIProvidence,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDRIProvidence,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDNCCharlotte,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDSCFlorence,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCSpartanburg,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCGreenville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCColumbia,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCGreenville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDSCGreenville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDSCColumbia,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDSCColumbia,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCGreenville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDSCColumbia,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCGreenville,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCGreenville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNCCharlotte,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDSCGreenville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDSCGreenville,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCSpartanburg,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCSpartanburg,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCColumbia,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCFlorence,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCColumbia,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCFlorence,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCColumbia,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDSCFlorence,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCFlorence,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDSCFlorence,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCFlorence,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDGASavannah,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCColumbia,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCColumbia,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDSCColumbia,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCColumbia,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDSCCharleston,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDSCColumbia,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDSCGreenville,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSCCharleston,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDGASavannah,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDGAAugusta,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCSpartanburg,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCColumbia,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSCFlorence,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDSCCharleston,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDGASavannah,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSDSiouxFalls,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDSDSiouxFalls,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDSDSiouxFalls,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSDSiouxFalls,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSDSiouxFalls,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSDSiouxFalls,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSDSiouxFalls,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDSDSiouxFalls,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDSDRapidCity,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDSDRapidCity,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDTNJohnsonCity,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNJackson,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKingsport,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKingsport,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNJohnsonCity,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDTNKnoxville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNJackson,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNJohnsonCity,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNChattanooga,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNChattanooga,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALHuntsville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNChattanooga,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDTNMemphis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDTNJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNChattanooga,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDTNNashville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNNashville,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKingsport,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNKnoxville,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
